34304	21816
34304	48535
34304	63153
34364	12577
34364	34353
3325	288
3325	877030
46128	35947
46128	66926
46128	46237
51054	28604
51054	160075
51054	63153
33429	9761
33429	9771
33429	63153
24822	288
24822	63153
50321	10735
50321	33429
29057	13028
29057	34854
24174	13349
24174	13368
24174	13384
288	9777
288	152089
288	63153
9758	4585
27214	3828
27214	154539
27267	8987
27267	154539
27319	18364
27319	77167
27319	27748
13807	126597
13807	107616
13807	32906
27169	9780
27169	28066
27169	63153
27327	18997
27327	27326
27327	160624
45381	50977
9877	73294
9877	4479
9877	6765
9877	63153
4140	73294
4140	76987
4140	6765
4140	9761
44724	73294
44724	4480
44724	76987
44724	6765
44724	63153
12817	73294
12817	4479
12817	6765
12817	26847
18273	73294
18273	76987
18273	6765
21850	4480
21850	6765
21850	51906
27839	4480
27839	12596
27839	648931
27839	63153
30989	6765
30989	12352
30989	17134
30989	18046
30989	28066
30989	63153
36065	73294
36065	6765
36065	145847
36065	17134
36065	35232
36065	51140
36065	63153
13808	4480
13808	6765
28438	4480
25765	4480
7532	4480
28498	4480
24075	9777
24075	63153
25218	9766
47785	9777
47785	63153
3672	9780
13544	9780
13544	209962
13544	63153
15276	9761
15276	9780
15276	63153
15749	9780
21318	28066
21318	43652
21318	63153
24838	9766
24838	9777
24838	9780
24838	877030
24838	72848
47306	9761
47306	9780
48535	28066
48535	63153
38816	10378
38816	14314
38816	14315
51006	9780
51006	63153
52226	249278
279	3529
279	4398
279	201337
279	63153
51906	9760
51906	160075
51906	63153
18422	17134
18422	63153
13083	17134
13083	49561
16549	33429
4786	4792
4786	63153
40822	48
40822	24849
40822	40819
40816	25210
44224	19131
40824	24938
40824	40840
40830	25192
40830	40840
40820	24847
40820	40819
40821	24848
40821	40819
40823	24862
40823	40840
40825	25041
40825	40840
11745	1997
11745	11746
11745	105581
11746	1998
11746	105579
24932	18364
24932	25212
24938	18997
24938	25211
49301	1997
49301	140527
49301	49306
49301	49454
49306	1998
49306	49453
24846	3255
24846	25211
25129	3714
25129	25211
24862	4677
24862	148907
24862	25211
25041	25211
25041	39141
25192	25211
25192	57041
49240	1989
49240	49237
49237	1988
49237	49453
49239	24848
49239	49237
49445	2017
49445	49453
49238	24847
49238	49237
49248	1992
49248	49453
3828	11135
5738	18382
5738	18384
5738	29073
7861	93579
7861	161359
7861	11135
7861	25192
7861	195188
7861	48387
8180	11135
8180	47154
8893	11135
8892	11135
8987	11135
19155	11135
24414	11135
35622	8556
35622	149392
35622	96197
35622	35461
40813	11135
4848	11135
4848	47154
44769	11745
44769	11747
44769	146991
44769	34869
44769	109914
44769	34907
3087	8556
3087	10483
3087	177639
3087	176966
3351	11135
29073	93579
29073	11135
29073	47154
6319	8556
6319	177650
6319	32236
6319	35472
6319	35507
12688	5649
12688	8556
12688	10454
12688	104822
12688	114041
12688	74540
12688	49166
12688	49929
25265	8556
25265	32271
25265	35475
25265	35525
25859	8556
25859	177676
25859	177753
25859	54432
30571	8556
30571	204199
30571	45091
11132	8891
11132	11135
11132	47154
35927	8556
35927	128300
35927	35249
35927	177812
35927	223120
35927	58112
100	11135
100	47154
49666	8556
49666	31963
49666	35485
49666	52
49666	138261
49938	8556
49938	115636
49938	98640
50312	8556
50312	177707
50312	177790
52346	8556
52346	177715
54360	8556
54360	177743
54360	176945
54894	47224
56939	8556
56939	177750
56939	177807
9285	8556
9285	10047
9285	11135
9285	11411
9285	199398
9285	19062
9285	31519
9285	35347
9285	47154
33567	8556
33567	10047
33567	10454
33567	11135
33567	11411
33567	19062
33567	31519
33567	35347
33567	47154
49380	2007
49380	49306
49380	49454
3740	24529
3740	75014
8754	24831
8754	24838
11959	13028
11959	113099
11959	48535
29514	13028
29514	113099
2505	9761
2505	9782
2718	2727
2718	186894
2718	19131
2718	130443
2718	63153
21795	21798
21797	21798
50089	30936
46067	30936
30510	30511
30510	30937
30936	9780
30936	28066
30936	63153
52725	52727
25800	30936
3060	24530
3060	130443
3060	38821
3060	63153
24530	13686
24530	21816
24530	38821
22071	113318
22071	159158
22071	52549
9225	113318
9225	12345
9225	159158
27978	113318
32638	3060
32638	159158
55100	58155
55246	55286
55246	209582
38821	9761
38821	9770
38821	9771
38821	18386
21508	288
46126	27585
46126	46160
46126	145332
6919	288
6919	47789
15080	3060
15080	48611
15050	15049
15050	53787
57013	6723
57013	22071
6724	2986
6724	6723
6723	24530
46031	3060
46031	48611
12352	50977
12352	63153
4371	12352
4371	63153
44384	162521
24139	131717
24139	10691
34625	4151
34625	133670
39	9761
39	19131
39	51906
30255	21816
30255	30228
30255	30936
51077	11600
51077	80411
