1,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:13,LUMINOSITY,19,NULL
2,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:14,LUMINOSITY,16,NULL
3,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:17,LUMINOSITY,20,NULL
4,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:23,LUMINOSITY,15,NULL
5,Capteur 24a89ddc-23c8-4d9f-9f5e-cff4eba32fb5,NULL,2017-03-06 15:59:25,TEMP,23.44,NULL
6,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:25,LUMINOSITY,18,NULL
7,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:27,LUMINOSITY,21,NULL
8,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 15:59:30,LUMINOSITY,162,NULL
9,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:33,LUMINOSITY,17,NULL
10,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 15:59:36,LUMINOSITY,159,NULL
11,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:39,LUMINOSITY,20,NULL
12,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 15:59:43,LUMINOSITY,156,NULL
13,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:43,LUMINOSITY,23,NULL
14,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:47,LUMINOSITY,19,NULL
15,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:48,LUMINOSITY,16,NULL
16,Capteur 7b051d3a-8547-463d-9d28-a2d50c5098b4,NULL,2017-03-06 15:59:50,LUMINOSITY,8,NULL
17,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 15:59:52,LUMINOSITY,153,NULL
18,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:52,LUMINOSITY,20,NULL
19,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:54,LUMINOSITY,23,NULL
20,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:57,LUMINOSITY,18,NULL
21,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 15:59:58,LUMINOSITY,150,NULL
22,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 15:59:58,LUMINOSITY,15,NULL
23,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:00,LUMINOSITY,18,NULL
24,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:01,LUMINOSITY,21,NULL
25,Capteur 03f5ca58-aa70-47b3-980c-c8f486cac9ee,NULL,2017-03-06 16:00:03,HUMIDITY,49,NULL
26,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:06,LUMINOSITY,17,NULL
27,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:09,LUMINOSITY,20,NULL
28,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:11,LUMINOSITY,24,NULL
29,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:13,LUMINOSITY,21,NULL
30,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:14,LUMINOSITY,18,NULL
31,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:18,LUMINOSITY,21,NULL
32,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 16:00:22,LUMINOSITY,153,NULL
33,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:23,LUMINOSITY,16,NULL
34,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:26,LUMINOSITY,21,NULL
35,Capteur 140ade6c-4418-4d86-a14e-25b7db5ae83b,NULL,2017-03-06 16:00:28,LUMINOSITY,26,NULL
36,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 16:00:28,LUMINOSITY,156,NULL
37,Capteur 7b051d3a-8547-463d-9d28-a2d50c5098b4,NULL,2017-03-06 16:00:28,TEMP,22.87,NULL
38,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:28,LUMINOSITY,24,NULL
39,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:31,LUMINOSITY,21,NULL
40,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 16:00:33,LUMINOSITY,159,NULL
41,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:33,LUMINOSITY,17,NULL
42,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 16:00:36,LUMINOSITY,162,NULL
43,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:39,LUMINOSITY,20,NULL
44,Capteur 8aa60f58-fc6f-49e2-a53a-f5cc96bb9021,NULL,2017-03-06 16:00:42,LUMINOSITY,165,NULL
45,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:42,LUMINOSITY,23,NULL
46,Capteur f9538ac8-4fdb-4049-9ff6-ac4855e3bcc5,NULL,2017-03-06 16:00:42,HUMIDITY,41.9,NULL
47,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:46,LUMINOSITY,20,NULL
48,Capteur 70345659-3f50-49af-98e7-bbc93961df92,NULL,2017-03-06 16:00:47,LUMINOSITY,17,NULL
